State,District,Block/Tehsil,Village,No. of Surface Flow Schemes Permanently not in use due to - Salinity,No. of Surface Flow Schemes Permanently not in use due to - Dried up,No. of Surface Flow Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Flow Schemes Permanently not in use due to - Sinking,No. of Surface Flow Schemes Permanently not in use due to - Other reasons
ANDHRA PRADESH,Sri Potti Sriramul,Varikuntapadu,Damancherla,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Chinnagottigallu,Rangannagari Gadda,0,11,0,0,0
ANDHRA PRADESH,Prakasam,Ponnaluru,Malepadu,0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Thatiseela,0,0,1,0,0
ANDHRA PRADESH,Kadapa,Atlur,Kamalakuru,0,5,0,0,0
ANDHRA PRADESH,Visakhapatnam,Narsipatnam,Guramdorapalem,0,3,0,0,0
ANDHRA PRADESH,Chittoor,Yadamarri,Bodaguttapalle,0,4,0,0,0
ANDHRA PRADESH,Kadapa,Atlur,Vemalur,0,2,0,0,0
ANDHRA PRADESH,West Godavari,Denduluru,Naguladevunipadu,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Ballikurava,Guntupalle,0,0,0,0,1
ANDHRA PRADESH,West Godavari,Nallajerla,Sanjeevapuram,0,0,1,0,0
ANDHRA PRADESH,Anantapur,Yadiki,Rayalacheruvu,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Varadaiahpalem,Mopurapalle,0,0,0,0,1
ANDHRA PRADESH,Chittoor,Chinnagottigallu,Bhakarapet,0,12,0,0,0
ANDHRA PRADESH,Prakasam,Veligandla,Immadi Cheruvu,0,5,0,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Ojili,Rudrayapalem,0,0,0,0,1
ANDHRA PRADESH,Visakhapatnam,Paravada,Pentaseema Bonangi,0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Kondrukuppa,0,0,1,0,0
ANDHRA PRADESH,Kadapa,Muddanur,Korrapadu,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Gandepalle,Murari,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Gandepalle,Pro. Ragampeta,0,0,0,0,3
ANDHRA PRADESH,Kadapa,Mylavaram,Dhodium,0,0,1,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Ojili,Polipadu,0,0,0,0,2
