State,District,Block/Tehsil,Village,No. of Surface Lift Schemes Permanently not in use due to - Salinity,No. of Surface Lift Schemes Permanently not in use due to - Dried up,No. of Surface Lift Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Lift Schemes Permanently not in use due to - Sinking,No. of Surface Lift Schemes Permanently not in use due to - Other reasons
TAMIL NADU,VIRUDHUNAGAR,VEMBAKKOTTAI,SANKARAPANDIYAPURAM,0,1,0,0,0
TAMIL NADU,TUTICORIN,SRIVAIKUNTAM,THANOOTHU,0,0,0,0,1
TAMIL NADU,TUTICORIN,THOOTHUKKUDI,AYYANADAIPPU,0,0,0,0,1
TAMIL NADU,KANCHEEPURAM,KATTANKULATHUR,ECHANKARANAI,0,0,0,0,1
TAMIL NADU,KANCHEEPURAM,TAMBARAM,PAMMAL,0,0,0,0,1
TAMIL NADU,PUDUKKOTTAI,THIRUVARANKULAM,KAIKURICHI,0,0,1,0,0
TAMIL NADU,TUTICORIN,SRIVAIKUNTAM,ANIAPARANALLUR,0,0,0,0,4
TAMIL NADU,VELLORE,WALAJAH,KALMELKUPPAM,0,1,0,0,0
TAMIL NADU,TIRUNELVELI,SANKARANKOVIL,MADATHUPATTI,0,0,1,0,0
TAMIL NADU,DHARMAPURI,DHARMAPURI,ALLEDHARMAPURI,1,0,0,0,0
TAMIL NADU,KANCHEEPURAM,TAMBARAM,POZHICHALAUR,0,0,0,0,1
TAMIL NADU,NAMAKKAL,MOHANUR,KOMARIPALAYAM,0,0,0,0,1
TAMIL NADU,VELLORE,JOLARPET,AMMANANKOIL,0,1,0,0,0
TAMIL NADU,VIRUDHUNAGAR,SATTUR,KARISALKULAM,1,0,0,0,0
TAMIL NADU,TIRUNELVELI,KURUVIKULAM,SAYAMALAI I,0,2,0,0,0
TAMIL NADU,VIRUDHUNAGAR,SRIVILLIPUTUR,RAJAKULARAMAN.K,1,1,0,0,0
TAMIL NADU,TUTICORIN,PUDUR,SINGILIPATTI,0,0,0,0,1
TAMIL NADU,NAMAKKAL,NAMAKKAL,KONDICHETTYPATTY,0,4,0,0,0
TAMIL NADU,KANCHEEPURAM,TAMBARAM,ESA PALLAVARAM,1,0,0,0,0
TAMIL NADU,VIRUDHUNAGAR,ARUPPUKOTTAI,KURUNTHAMADAM,0,1,0,0,0
TAMIL NADU,VIRUDHUNAGAR,VIRUDHUNAGAR,PATTAMPUTHUR,0,1,0,0,0
TAMIL NADU,MADURAI,KALLUPATTI(T),KUNATHOOR - I,0,0,0,0,2
TAMIL NADU,VIRUDHUNAGAR,ARUPPUKOTTAI,RAMAPURAM,0,1,0,0,0
TAMIL NADU,TUTICORIN,KOVILPATTI,MEENAKSHIPURAM,0,0,0,0,1
TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,KATTIGANAPALLI,3,135,56,0,1
TAMIL NADU,PUDUKKOTTAI,PUDUKKOTTAI,PUDUKKOTTAI SOUTH,0,1,0,0,0
TAMIL NADU,TUTICORIN,KARUNGULAM,CHERAKULAM,0,0,0,0,1
TAMIL NADU,TUTICORIN,TIRUCHENDUR,AMMANPURAM,0,0,0,0,4
TAMIL NADU,VELLORE,JOLARPET,PUTHAGARAM,0,1,0,0,0
TAMIL NADU,TIRUCHIRAPPALLI,THOTTIYAM,MURUNGAI,0,1,0,0,0
TAMIL NADU,TUTICORIN,VILATHIKULAM,VELIDUPATTI,0,0,0,0,1
TAMIL NADU,KRISHNAGIRI,HOSUR,THORAPALLIAGRAHARAM,0,5,0,0,0
TAMIL NADU,VELLORE,JOLARPET,MOOKKANUR,0,2,0,0,0
TAMIL NADU,TIRUVANNAMALAI,VEMBAKKAM,PILLANTHAGAL,0,1,0,0,0
TAMIL NADU,THANJAVUR,SEDHUBAVACHATTIRAM,REGUNAYAGIPURAM,1,0,0,0,0
TAMIL NADU,KANCHEEPURAM,KUNDRATHUR,THIRUNAGESWARAM,0,0,0,0,1
TAMIL NADU,THANJAVUR,THIRUVONAM,PUGAL SILLATHUR,0,1,0,0,0
TAMIL NADU,TUTICORIN,ALWARTHIRUNAGARI,SRIVENKATESWARAPURAM,0,0,0,0,7
TAMIL NADU,THANJAVUR,ORATHANADU,SETHURAYANKUDIKADU,0,1,0,0,0
TAMIL NADU,TUTICORIN,OTTAPIDARAM,MELAMARUTHUR,0,0,0,0,1
TAMIL NADU,TIRUCHIRAPPALLI,VAIYAMPATTY,PALAYAKOTTAI,0,0,0,1,0
TAMIL NADU,KANCHEEPURAM,SRIPERUMBUDUR,VAIPUR A,0,0,1,0,0
TAMIL NADU,KANCHEEPURAM,TIRUPORUR,PONMAR,0,1,0,0,0
TAMIL NADU,TUTICORIN,OTTAPIDARAM,SANGAMPATTI,0,0,0,0,1
TAMIL NADU,TUTICORIN,SRIVAIKUNTAM,NATTATHI,0,0,0,0,1
TELENGANA,Nalgonda ,Nidamanur ,Vallabhapur,0,8,0,0,0
TELENGANA,Nalgonda ,Munugode ,Velmakanne,0,0,0,0,11
TELENGANA,Nalgonda ,Munugode ,Rathi Palle,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Cheekati Mamidi,2,0,0,1,6
TELENGANA,Nalgonda ,Thipparthi ,Cheruvu Palle,0,6,0,0,6
TELENGANA,Adilabad ,Boath ,Ghanpur,0,0,1,0,0
TELENGANA,Nalgonda ,Munugode ,Marrigudem,0,0,0,1,0
TELENGANA,Nalgonda ,Munugode ,Kalwakuntla,0,0,0,0,4
TELENGANA,Nalgonda ,Munugode ,Kompalle,0,0,0,0,1
TELENGANA,Nalgonda ,Munugode ,Chalmeda,0,0,0,0,2
TELENGANA,Khammam ,Manuguru ,Manugur(M),1,0,0,0,0
TELENGANA,Nalgonda ,Munugode ,Jamasthanpalle,1,0,0,0,2
TELENGANA,Adilabad ,Jannaram ,Indhanpalle,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Cholledu,2,0,0,0,11
TELENGANA,Nalgonda ,Thipparthi ,Dacharam,0,8,0,0,0
TELENGANA,Nalgonda ,Nidamanur ,Venigandla,0,62,0,0,2
TELENGANA,Nalgonda ,Pochampalle ,Alinagar,0,8,0,0,0
TELENGANA,Nalgonda ,Munugode ,Munugode,0,0,0,0,6
TELENGANA,Nalgonda ,Munugode ,Ipparthy,0,4,0,0,0
TELENGANA,Adilabad ,Jannaram ,Kalmadagu,0,3,0,0,0
TELENGANA,Adilabad ,Boath ,Tewiti,0,2,0,0,0
TELENGANA,Nalgonda ,Munugode ,Kalavalapalle,3,0,0,0,1
TELENGANA,Rangareddy ,Qutubullapur ,Bachpalle(CT),1,0,0,0,0
TELENGANA,Nalgonda ,Munugode ,Kothularam,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Solipuram,0,0,0,0,4
TELENGANA,Adilabad ,Inderavelly ,Rampur (B),0,0,0,0,1
TELENGANA,Nalgonda ,Munugode ,Singaram,6,0,0,0,2
TELENGANA,Khammam ,Penuballi ,Karaigudem,0,0,1,0,0
TELENGANA,Nalgonda ,Nidamanur ,Tummadam,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Gudapur,9,0,0,0,3
TELENGANA,Adilabad ,Nirmal ,Muktapur,1,0,0,0,0
TELENGANA,Adilabad ,Boath ,Gollapur,0,2,0,0,0
TELENGANA,Rangareddy ,Qutubullapur ,Gajularamaram,1,0,0,0,0
TELENGANA,Nalgonda ,Munugode ,Pulipalpula,0,2,0,0,0
TELENGANA,Nalgonda ,Munugode ,Palivela,0,8,0,0,0
TELENGANA,Nalgonda ,Dameracherla ,Thalla Veerappa Gudem,0,1,0,0,0
TELENGANA,Nalgonda ,Nidamanur ,Nehatapur,0,59,0,0,0
TELENGANA,Mahbubnagar ,Devarkadra ,Chowdarpalle,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Vookondi,1,7,0,0,0
TELENGANA,Adilabad ,Adilabad ,Kumbhajheri,1,0,0,0,0
TELENGANA,Khammam ,Kallur ,Talluru,0,1,0,0,0
TELENGANA,Khammam ,Kallur ,Peruvancha,0,1,0,0,0
TELENGANA,Nalgonda ,Peddavoora ,Teppalamadugu,0,0,1,0,0
TELENGANA,Warangal ,Ghanpur (Mulug) ,Dharmaraopet,0,0,1,0,0
TELENGANA,Khammam ,Aswaraopeta ,Anantharam,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Kistapuram,0,3,0,0,0
TELENGANA,Nalgonda ,Munugode ,Koratikal,0,0,0,1,6
TELENGANA,Khammam ,Garla ,Mulkanoor,0,0,0,0,1
TELENGANA,Karimnagar ,Chigurumamidi ,Rekonda,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Kaslapuram,0,0,0,0,1
TRIPURA,GOMATI,AMARPUR,NORTH CHELLAGONG,0,0,0,0,1
TRIPURA,GOMATI,AMARPUR,DALAK,0,0,0,0,2
TRIPURA,West Tripura,HEZAMARA,PURBA CHANDPUR,0,0,0,0,1
TRIPURA,West Tripura,HEZAMARA,BARKHATAL,0,0,0,0,1
TRIPURA,West Tripura,HEZAMARA,Rubri Twisa,0,1,0,0,0
TRIPURA,SEPAHIJALA,JAMPUIJALA,AMARENDRA NAGAR,0,0,1,0,0
TRIPURA,KHOWAI,KHOWAI,SIPAIHOUR,0,0,0,0,1
TRIPURA,Dhalai,DURGA CHOWMUHANI,MOHANPUR,0,0,3,0,0
TRIPURA,South Tripura,RAJNAGAR,SOUTH SRIRAMPUR,0,1,0,0,0
TRIPURA,West Tripura,LEFUNGA,UTTAR DEBENDRANAGAR,0,0,0,0,1
TRIPURA,West Tripura,HEZAMARA,PURBA NOAGAON,0,1,0,0,0
TRIPURA,KHOWAI,KHOWAI,WEST CHEBRI,0,0,0,0,1
TRIPURA,KHOWAI,KHOWAI,PAHARMURA,0,0,0,0,1
TRIPURA,Dhalai,DURGA CHOWMUHANI,CHOTO SURMA,0,0,0,0,1
TRIPURA,SEPAHIJALA,BISHALGARH,KAIYADEPHA,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,CHAKIYA,SUKHDEVPUR,1,0,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BHOJA RAJA,0,0,1,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,PARASIYA KHURD,0,0,0,1,0
UTTAR PRADESH,CHANDAULI,DHANAPUR,CHITAWAL,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,GAUSPUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHANDAULI,EKAUNI,1,0,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,ARA KHURD,0,0,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BELA KHAS,0,3,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,DHANABAL KALA,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,SAKALDIHA,JAHAGIRPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,ALAWALPUR,0,1,0,0,0
UTTAR PRADESH,SONBHADRA,MYORPUR,KHAIRAHI,0,3,1,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,MAKDUMPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MAHARACHHA,3,1,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,VIYASARH,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MARAWA,1,3,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,KISHUNIPUR,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,TAHIRPUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,OADAM PUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHAKIYA,RAMPUR-I,0,0,0,0,1
UTTAR PRADESH,SULTANPUR,LAMBHUA,PURAINA RAJSHAH,1,0,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,ANUVA,0,5,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,BHATAULI-I,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NAUGHAR,BATAS RARH,0,0,0,0,3
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,NEWADA BELA,0,1,0,0,0
UTTAR PRADESH,BARABANKI,HARKHA,GALHA MAU,0,3,1,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,LOHARPURWA,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,CHAKIYA,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHAKIYA,CHILRAHA,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHAKIYA,BAHAURA,0,0,0,0,2
UTTAR PRADESH,JAUNPUR,KERAKAT,RATNU PUR,1,0,0,0,0
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,JAPHAR PUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,PILAKHINI,0,6,2,0,0
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,KUD KHURD,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NAUGHAR,KASHI BHOR,0,0,0,0,3
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,KHANPUR DANRI,0,3,0,0,0
UTTAR PRADESH,CHANDAULI,NAUGHAR,PATERAWA,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NAUGHAR,SHIVPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BAGHAPUR,0,1,0,0,0
UTTAR PRADESH,BARABANKI,HARKHA,GARHIRAKHMAU,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MOLAWA KALAN,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BAZATI,0,4,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,NASIRPATTI,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BHAELAKHA,0,4,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,ISMAILPUR,0,0,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,WARI,0,0,3,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,SAMARUWA,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,CHANDAULI,JAGDISHPUR-I,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BARANA,0,1,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,CHAK SHAH ISARAR ALI,0,2,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BHOGAWARA,0,1,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,NEWADA JANGHAI,0,1,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,ZALALPUR MUTFARKA,2,3,3,0,0
UTTAR PRADESH,CHANDAULI,CHANDAULI,KHIGARACHIPUR,0,0,1,0,0
UTTAR PRADESH,CHANDAULI,CHAHANIA,DHAVAL DHAMKKA,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHAKIYA,MAJHGAWA (WEST),0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,VARENDRA,0,3,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,RASTIPUR,2,2,2,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,AGARAURHA,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,NIMIWARI,0,0,0,0,3
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,KATEHARI,1,2,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BASANEHATA,0,2,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,MANORATH PUR,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MIRZAPUR,1,0,1,0,0
UTTAR PRADESH,CHANDAULI,DHANAPUR,VISHAMBHARI CHAK,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NAUGHAR,LOHSANIYA,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHANDAULI,NARSINGHPUR KALA,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,SORAON,0,4,0,0,0
UTTAR PRADESH,BARABANKI,HARKHA,KARAUNDI KHURD,1,1,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,JIYAT PUR,0,0,0,0,2
UTTAR PRADESH,BARABANKI,HARKHA,MARKHAPUR,0,0,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,SINDHAURA SORAO,0,0,1,0,0
UTTAR PRADESH,MIRZAPUR,LALGANJ,BARKACHI,0,0,2,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,MAHEWA,0,0,0,0,2
UTTAR PRADESH,SONBHADRA,CHOPAN,CHATRAWAR,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,DHANAPUR,NODHARA,0,0,0,0,3
UTTAR PRADESH,CHANDAULI,BARHANI,BEERBHAN PUR,0,0,0,0,2
UTTAR PRADESH,SIDDHARTH NAGAR,MITHWAL,GOHAR,1,0,0,0,0
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,AREEV,0,0,0,0,2
UTTAR PRADESH,GHAZIPUR,DEVKALI,RASULPUR PACHRASI,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,RAYPUR,1,1,2,0,0
UTTAR PRADESH,CHANDAULI,CHAHANIA,DAHEE,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NAUGHAR,SAMSHERPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,GURGOAN,2,0,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,CHANETHU,0,0,3,0,0
UTTAR PRADESH,CHANDAULI,DHANAPUR,SHRIKANT PUR,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,ATAR SUIYA,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,SAHABPUR,1,2,1,0,0
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,GHURPUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,BARHANI,BABURA KHURD,0,0,0,0,3
UTTAR PRADESH,SULTANPUR,LAMBHUA,PURAINA CHANDRABHAN,1,0,0,0,0
UTTAR PRADESH,SONBHADRA,ROBERTSGANJ,PEETHA,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,CHHATAUNA,0,2,1,0,0
UTTAR PRADESH,CHANDAULI,CHAHANIA,HANDA,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,SARAI SULTANPUR URF,0,6,0,0,0
UTTAR PRADESH,FATEHPUR,AIRAYAN,SALEMPUR GOLI,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,NEWADA BARAUNA,0,3,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,KATRIYA,0,0,0,0,2
UTTAR PRADESH,SONBHADRA,DUDDHI,HEERA CHAK,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,CHAKIYA,SONBARASA,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,JALALPUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHAKIYA,VANDA,1,0,0,0,0
UTTAR PRADESH,CHANDAULI,SHAHABGANJ,SHAHPURWA KHURD,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,CHAKIYA,SHAHPUR HATA,0,0,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,CHAUKA,0,5,1,0,0
UTTAR PRADESH,CHANDAULI,BARHANI,HERNA TOLA,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,SARIPUR,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BHADARI,1,3,1,0,0
UTTAR PRADESH,BARABANKI,RAMNAGAR,TAPESIPAH,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,SAKALDIHA,MUSTAFAPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,UGRSENPUR URF BIBIPU,1,0,1,0,4
UTTAR PRADESH,CHANDAULI,CHANDAULI,KOLHI,0,0,1,0,1
UTTAR PRADESH,JAUNPUR,JALAL PUR,BARRAT,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,CHAHANIA,LOLPUR,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,CHAKIYA,FAUDIHAR,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,THATA,1,3,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MAJHIYARI TA- CHHATA,0,1,2,0,0
UTTAR PRADESH,CHANDAULI,NAUGHAR,IMLIYADIH,0,0,0,0,3
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,DALAPATPUR,0,2,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,DUBEYPUR-I,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,NAUGHAR,CHAKCHUIYA,0,0,0,0,3
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,CHAMPAPUR,0,2,4,0,0
UTTAR PRADESH,PRATAPGARH,SANGIPUR,MAKHDUMPUR,1,2,0,0,0
UTTAR PRADESH,CHANDAULI,BARHANI,DHAMINA KALA,0,0,0,0,3
UTTAR PRADESH,CHANDAULI,BARHANI,ARAJEE AURIYA,0,0,0,0,3
UTTAR PRADESH,CHANDAULI,SAKALDIHA,BISHUNPUR,0,1,0,0,2
UTTAR PRADESH,CHANDAULI,CHAKIYA,SEMARA-I,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,PATWA MUTFARKA,1,2,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,KHAKHAICHA,0,3,4,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,CHAK PUREMIYAN,0,2,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MATHOE,0,0,2,0,0
UTTAR PRADESH,CHANDAULI,NAUGHAR,TENDUI,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,NAUGHAR,AURAHI,0,0,0,0,3
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,PURE DIH,0,1,1,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,BALIPUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHAKIYA,AHMADPUR,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,SAKALDIHA,KUCHAMA,0,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,PINDAUNA,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,FORI,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHANDAULI,FAGUNIPUR,0,0,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,PRATAPPUR KALAN,0,2,0,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,KAKARAHI KALA,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,GORA DAULI,2,2,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,VHIDPUR,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,GOSAISIPUR,0,1,1,0,0
UTTAR PRADESH,CHANDAULI,CHAHANIA,BAGAHI,0,0,0,0,3
UTTAR PRADESH,CHANDAULI,SAKALDIHA,RANEPUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,CHAHANIA,VIHADA,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,BARHANI,KAJIPUR,0,0,0,0,3
UTTAR PRADESH,CHANDAULI,CHAHANIA,BANSHIPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,SARAI MAMAREJ,0,2,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,THANAPUR,0,2,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,NAGRAJPUR,0,0,0,0,1
UTTAR PRADESH,CHANDAULI,SAKALDIHA,MAHADEVPUR,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,SAKALDIHA,DARIYAPUR,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,CHAHANIA,ABHILAYEE,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BAGADAHA URF PURE VI,0,0,1,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,SANGHATI,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,CHAKIYA,SURCHAKIYA,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BIRAPUR,0,2,1,0,0
UTTAR PRADESH,CHANDAULI,NAUGHAR,GHUSURIYA NAWABANDH,0,0,0,0,3
UTTAR PRADESH,BARABANKI,HARKHA,DEHUVA,0,1,1,0,0
UTTAR PRADESH,CHANDAULI,BARHANI,LARHIPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MIRPUR,0,1,0,0,7
UTTAR PRADESH,CHANDAULI,NIYAMATABAD,KASIMPUR,0,0,0,0,2
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BARIYANWA,0,3,1,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,DEVALI,0,2,0,0,0
UTTAR PRADESH,CHANDAULI,BARHANI,CHAUHATTA,0,0,0,0,2
UTTAR PRADESH,CHANDAULI,NAUGHAR,GORHOLI,0,0,0,0,3
UTTAR PRADESH,CHANDAULI,SAKALDIHA,JALALPUR,1,0,0,0,0
UTTAR PRADESH,BARABANKI,HARKHA,KAREEMABAD MALAULI,0,1,0,0,0
UTTAR PRADESH,CHANDAULI,CHAHANIA,BHAGAWANPUR,0,0,0,0,3
UTTAR PRADESH,CHANDAULI,CHAKIYA,GAURHI,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BHEMPUR,0,2,0,0,0
UTTAR PRADESH,CHANDAULI,DHANAPUR,KODAI,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,MUHIDDINPUR,1,1,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,JANUWA DIH KHURD,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,BAGHERI,0,6,0,0,0
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,FATEHPUR MAPHI,1,0,0,0,0
UTTAR PRADESH,CHANDAULI,SAKALDIHA,SAIDPUR,0,0,0,0,1
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,PRATAPPUR KHURD,0,2,0,0,0
UTTARAKHAND,Almora,DHAULADEVI,PALI,0,0,0,0,1
UTTARAKHAND,Tehri,NARENDRA NAGAR,BIDONGAON,0,0,0,0,1
UTTARAKHAND,Chamoli,GAIRSEN,JULGAR,0,0,1,0,0
UTTARAKHAND,Rudarprayag,JAKHOLI,TUNETA,0,0,0,0,1
UTTARAKHAND,Chamoli,NARAINBAGAR,KEVAT MALLA,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,JIGOLI MAYCHAK,0,0,0,0,2
UTTARAKHAND,Almora,DHAULADEVI,CHOUN DUNGARI,0,0,0,0,1
UTTARAKHAND,Chamoli,KARNAPRAYAG,SONALA,0,0,0,0,1
UTTARAKHAND,Chamoli,DASHOLI,SYAN CHAK KUDAW,0,0,1,0,0
UTTARAKHAND,Dehradun,SEHASPUR,BAKRALGOAN,0,0,1,0,0
UTTARAKHAND,Chamoli,DASHOLI,DEVRA KHADORA,0,0,1,0,0
