State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,9,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,1,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,1,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,West Kodipalle,1,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,West Kodipalle,0,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,West Kodipalle,3,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,West Kodipalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,West Kodipalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,West Kodipalle,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,West Kodipalle,1,Others
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,0,Salinity
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,1,Dried_up
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,0,Destroyed
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,0,Sea_water
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,0,Project
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,0,Others
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,0,Salinity
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,0,Dried_up
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,1,Destroyed
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,0,Sea_water
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,0,Project
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,0,Others
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,0,Salinity
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,2,Dried_up
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,0,Destroyed
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,0,Sea_water
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,0,Project
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,0,Others
ANDHRA PRADESH,Anantapur,Bukkapatnam,Siddarampuram,0,Salinity
ANDHRA PRADESH,Anantapur,Bukkapatnam,Siddarampuram,1,Dried_up
ANDHRA PRADESH,Anantapur,Bukkapatnam,Siddarampuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Bukkapatnam,Siddarampuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Bukkapatnam,Siddarampuram,0,Factory_waste
